"filename", "language", "Dart", "comment", "blank", "total"
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\dictionary\esj_dictionary.freezed.dart", "Dart", -272, -28, -26, -326
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\dictionary\sub\example\impl\example.freezed.dart", "Dart", -130, -25, -24, -179
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\dictionary\sub\example\impl\solo_example.freezed.dart", "Dart", -155, -25, -24, -204
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\dictionary\sub\idiom\impl\idiom.freezed.dart", "Dart", -129, -25, -24, -178
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\dictionary\sub\idiom\impl\solo_idiom.freezed.dart", "Dart", -131, -25, -24, -180
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\dictionary\sub\supplement.freezed.dart", "Dart", -116, -25, -24, -165
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\my_word.freezed.dart", "Dart", -182, -25, -24, -231
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\ranking.freezed.dart", "Dart", -244, -27, -24, -295
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\verb\conjugacion\conjugacions.freezed.dart", "Dart", -124, -29, -24, -177
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\verb\conjugacion\tense_conjugacion.freezed.dart", "Dart", -203, -25, -24, -252
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\verb\participles.freezed.dart", "Dart", -113, -25, -24, -162
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Business_Rule\_Domain\Entities\word.freezed.dart", "Dart", -138, -26, -24, -188
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\conjugation_dao.g.dart", "Dart", -4, -2, -3, -9
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\dictionary_dao.g.dart", "Dart", -5, -2, -3, -10
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\example_dao.g.dart", "Dart", -4, -2, -3, -9
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\idiom_dao.g.dart", "Dart", -4, -2, -3, -9
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\my_word_dao.g.dart", "Dart", -4, -2, -3, -9
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\part_of_speech_list_dao.g.dart", "Dart", -5, -2, -3, -10
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\ranking_dao.g.dart", "Dart", -8, -2, -3, -13
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\supplement_dao.g.dart", "Dart", -4, -2, -3, -9
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\word_dao.g.dart", "Dart", -4, -2, -3, -9
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\DAO\word_status_dao.g.dart", "Dart", -4, -2, -3, -9
"c:\Users\deded\OneDrive\Documents\App\flutter\my_dic\lib\__generated\_Framework_Driver\Database\drift\database_provider.g.dart", "Dart", -7642, -2, -449, -8093
"Total", "-", -9625, -332, -769, -10726